AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
19100,"Dallas-Fort Worth-Arlington, TX",4,TX,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,5040,3.4,1.324,1.23,,,51.97,108090,0.9,27.62,37.18,49.68,65.04,80.59,57450,77340,103330,135290,167620,,
19340,"Davenport-Moline-Rock Island, IA-IL",4,IA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,170,4,0.936,0.87,,,41.26,85820,1.3,28.91,31.5,41.41,47.01,56.37,60140,65520,86130,97770,117260,,
19380,"Dayton, OH",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,210,8.1,0.587,0.54,,,37.21,77410,2.9,21.18,24.57,36.66,41.95,53.22,44060,51100,76250,87260,110710,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",4,FL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,9.6,0.311,0.29,,,45.6,94850,3.9,23.4,27.85,37.81,52.1,68.98,48680,57920,78640,108370,143470,,
19740,"Denver-Aurora-Lakewood, CO",4,CO,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2510,8.8,1.617,1.5,,,55.26,114940,1.8,30.89,38.46,49.91,64.9,78.61,64240,80000,103800,134990,163500,,
19780,"Des Moines-West Des Moines, IA",4,IA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1220,2.2,3.288,3.05,,,49.42,102800,1.1,30.68,40.78,51.39,58.71,65.49,63810,84810,106900,122110,136220,,
19820,"Detroit-Warren-Dearborn, MI",4,MI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2180,10.7,1.17,1.08,,,46.15,95990,4.4,27.4,35.4,43.4,51.86,63.89,56990,73630,90260,107870,132890,,
20220,"Dubuque, IA",4,IA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,10.7,0.748,0.69,,,33.68,70060,3.2,19.25,25.99,32.66,40.16,48.74,40030,54060,67920,83540,101380,,
20260,"Duluth, MN-WI",4,MN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,30,9.4,0.255,0.24,,,36.24,75390,2.1,20.21,23.57,28.87,47.33,58.12,42050,49020,60060,98450,120880,,
20500,"Durham-Chapel Hill, NC",4,NC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,710,5.9,2.176,2.02,,,56.32,117150,2.5,30.72,43.55,60.08,66.11,80.81,63900,90580,124960,137510,168080,,
20740,"Eau Claire, WI",4,WI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,19.9,0.664,0.62,,,43.87,91250,2.2,30.25,33.1,45.87,47.43,62.49,62920,68840,95410,98650,129980,,
21140,"Elkhart-Goshen, IN",4,IN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,6.7,0.325,0.3,,,47.38,98550,21.6,23.66,30.52,36.63,49,75.2,49210,63490,76190,101910,156410,,
21340,"El Paso, TX",4,TX,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,170,10.9,0.536,0.5,,,39.09,81300,6.6,17.4,27.84,38.99,47.44,60.49,36190,57910,81090,98670,125810,,
21500,"Erie, PA",4,PA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,13.5,0.419,0.39,,,33.27,69200,4,15.81,23.96,34.26,37.23,46.93,32880,49840,71260,77440,97620,,
21660,"Eugene, OR",4,OR,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,11.6,0.416,0.39,,,39.85,82890,5.3,23.02,27.99,39.27,46.58,63.79,47880,58210,81690,96890,132690,,
