NAME,B01001_001E,state,county,tract,block group
Block Group 1; Census Tract 9102.02; Carroll County; Georgia,1011,13,045,910202,1
Block Group 2; Census Tract 9102.02; Carroll County; Georgia,2733,13,045,910202,2
Block Group 3; Census Tract 9102.02; Carroll County; Georgia,2088,13,045,910202,3
Block Group 1; Census Tract 9102.03; Carroll County; Georgia,2393,13,045,910203,1
Block Group 2; Census Tract 9102.03; Carroll County; Georgia,2041,13,045,910203,2
Block Group 1; Census Tract 9103.01; Carroll County; Georgia,1075,13,045,910301,1
Block Group 2; Census Tract 9103.01; Carroll County; Georgia,1246,13,045,910301,2
Block Group 3; Census Tract 9103.01; Carroll County; Georgia,1018,13,045,910301,3
Block Group 1; Census Tract 9103.02; Carroll County; Georgia,1707,13,045,910302,1
Block Group 2; Census Tract 9103.02; Carroll County; Georgia,2270,13,045,910302,2
Block Group 1; Census Tract 9104; Carroll County; Georgia,1425,13,045,910400,1
Block Group 2; Census Tract 9104; Carroll County; Georgia,1460,13,045,910400,2
Block Group 3; Census Tract 9104; Carroll County; Georgia,839,13,045,910400,3
Block Group 1; Census Tract 9105.02; Carroll County; Georgia,1392,13,045,910502,1
Block Group 2; Census Tract 9105.02; Carroll County; Georgia,1012,13,045,910502,2
Block Group 3; Census Tract 9105.02; Carroll County; Georgia,822,13,045,910502,3
Block Group 1; Census Tract 9105.03; Carroll County; Georgia,861,13,045,910503,1
Block Group 2; Census Tract 9105.03; Carroll County; Georgia,1308,13,045,910503,2
Block Group 3; Census Tract 9105.03; Carroll County; Georgia,1783,13,045,910503,3
Block Group 1; Census Tract 9105.04; Carroll County; Georgia,2475,13,045,910504,1
Block Group 2; Census Tract 9105.04; Carroll County; Georgia,986,13,045,910504,2
Block Group 3; Census Tract 9105.04; Carroll County; Georgia,510,13,045,910504,3
Block Group 1; Census Tract 9106; Carroll County; Georgia,567,13,045,910600,1
Block Group 2; Census Tract 9106; Carroll County; Georgia,1599,13,045,910600,2
Block Group 3; Census Tract 9106; Carroll County; Georgia,1942,13,045,910600,3
Block Group 4; Census Tract 9106; Carroll County; Georgia,1286,13,045,910600,4
Block Group 5; Census Tract 9106; Carroll County; Georgia,719,13,045,910600,5
Block Group 1; Census Tract 9107.04; Carroll County; Georgia,2200,13,045,910704,1
Block Group 2; Census Tract 9107.04; Carroll County; Georgia,1612,13,045,910704,2
Block Group 1; Census Tract 9107.05; Carroll County; Georgia,2058,13,045,910705,1
Block Group 2; Census Tract 9107.05; Carroll County; Georgia,1286,13,045,910705,2
Block Group 3; Census Tract 9107.05; Carroll County; Georgia,1805,13,045,910705,3
Block Group 1; Census Tract 9107.06; Carroll County; Georgia,2310,13,045,910706,1
Block Group 2; Census Tract 9107.06; Carroll County; Georgia,1566,13,045,910706,2
Block Group 3; Census Tract 9107.06; Carroll County; Georgia,1975,13,045,910706,3
Block Group 1; Census Tract 9107.07; Carroll County; Georgia,1656,13,045,910707,1
Block Group 2; Census Tract 9107.07; Carroll County; Georgia,1330,13,045,910707,2
Block Group 3; Census Tract 9107.07; Carroll County; Georgia,1762,13,045,910707,3
Block Group 1; Census Tract 9107.08; Carroll County; Georgia,2296,13,045,910708,1
Block Group 2; Census Tract 9107.08; Carroll County; Georgia,1712,13,045,910708,2
